#
# Neutron Star Mass Function
#
# Source: www3.mpifr-bonn.mpg.de/staff/pfreire/NS_masses.html
#         neutron stars in binary systems with mass error < 15%
#
# ARAA article: Ozel, F., and Freire, P. 2016, "Masses, radii,
#               and the equation of state of neutron stars," ARAA, 54, 401
#
# PDF calculated using Kernel Density Estimation (KDE) by author BSR
#
# Mass is in Msun
# PDF - probability density function, dimensionless 0..1
# lower98/upper98 - 98% confidence intervals
#
Mass          PDF          lower98      upper98
  0.2600E-02  0.28858E-16  0.21493E-25  0.11539E-15
  0.7800E-02  0.29752E-16  0.23784E-25  0.11896E-15
  0.1300E-01  0.31567E-16  0.28601E-25  0.12621E-15
  0.1820E-01  0.34354E-16  0.36439E-25  0.13736E-15
  0.2340E-01  0.38196E-16  0.48099E-25  0.15271E-15
  0.2860E-01  0.43203E-16  0.64770E-25  0.17273E-15
  0.3380E-01  0.49522E-16  0.88141E-25  0.19799E-15
  0.3900E-01  0.57334E-16  0.12057E-24  0.22921E-15
  0.4420E-01  0.66865E-16  0.16532E-24  0.26731E-15
  0.4940E-01  0.78389E-16  0.22685E-24  0.31337E-15
  0.5460E-01  0.92234E-16  0.31126E-24  0.36870E-15
  0.5980E-01  0.10879E-15  0.42689E-24  0.43489E-15
  0.6500E-01  0.12854E-15  0.58507E-24  0.51380E-15
  0.7020E-01  0.15202E-15  0.80122E-24  0.60766E-15
  0.7540E-01  0.17991E-15  0.10963E-23  0.71910E-15
  0.8060E-01  0.21297E-15  0.14987E-23  0.85122E-15
  0.8580E-01  0.25213E-15  0.20469E-23  0.10077E-14
  0.9100E-01  0.29847E-15  0.27931E-23  0.11928E-14
  0.9620E-01  0.35326E-15  0.38078E-23  0.14117E-14
  0.1014      0.41799E-15  0.51863E-23  0.16704E-14
  0.1066      0.49444E-15  0.70574E-23  0.19758E-14
  0.1118      0.58466E-15  0.95945E-23  0.23362E-14
  0.1170      0.69108E-15  0.13032E-22  0.27613E-14
  0.1222      0.81655E-15  0.17684E-22  0.32625E-14
  0.1274      0.96440E-15  0.23975E-22  0.38531E-14
  0.1326      0.11385E-14  0.32473E-22  0.45486E-14
  0.1378      0.13436E-14  0.43944E-22  0.53674E-14
  0.1430      0.15848E-14  0.59411E-22  0.63309E-14
  0.1482      0.18686E-14  0.80247E-22  0.74641E-14
  0.1534      0.22023E-14  0.10829E-21  0.87963E-14
  0.1586      0.25943E-14  0.14600E-21  0.10362E-13
  0.1638      0.30549E-14  0.19666E-21  0.12200E-13
  0.1690      0.35956E-14  0.26465E-21  0.14359E-13
  0.1742      0.42302E-14  0.35581E-21  0.16892E-13
  0.1794      0.49747E-14  0.47794E-21  0.19863E-13
  0.1846      0.58476E-14  0.64138E-21  0.23346E-13
  0.1898      0.68706E-14  0.85993E-21  0.27429E-13
  0.1950      0.80692E-14  0.11519E-20  0.32210E-13
  0.2002      0.94726E-14  0.15415E-20  0.37809E-13
  0.2054      0.11115E-13  0.20610E-20  0.44362E-13
  0.2106      0.13038E-13  0.27531E-20  0.52027E-13
  0.2158      0.15285E-13  0.36742E-20  0.60989E-13
  0.2210      0.17913E-13  0.48988E-20  0.71465E-13
  0.2262      0.20984E-13  0.65257E-20  0.83703E-13
  0.2314      0.24570E-13  0.86847E-20  0.97993E-13
  0.2366      0.28757E-13  0.11547E-19  0.11467E-12
  0.2418      0.33645E-13  0.15339E-19  0.13413E-12
  0.2470      0.39346E-13  0.20358E-19  0.15683E-12
  0.2522      0.45996E-13  0.26993E-19  0.18329E-12
  0.2574      0.53749E-13  0.35759E-19  0.21412E-12
  0.2626      0.62785E-13  0.47326E-19  0.25003E-12
  0.2678      0.73314E-13  0.62578E-19  0.29183E-12
  0.2730      0.85580E-13  0.82669E-19  0.34049E-12
  0.2782      0.99866E-13  0.10911E-18  0.39710E-12
  0.2834      0.11650E-12  0.14387E-18  0.46293E-12
  0.2886      0.13588E-12  0.18954E-18  0.53945E-12
  0.2938      0.15844E-12  0.24946E-18  0.62838E-12
  0.2990      0.18472E-12  0.32804E-18  0.73150E-12
  0.3042      0.21534E-12  0.43096E-18  0.85115E-12
  0.3094      0.25104E-12  0.56566E-18  0.98994E-12
  0.3146      0.29267E-12  0.74177E-18  0.11511E-11
  0.3198      0.34127E-12  0.97183E-18  0.13386E-11
  0.3250      0.39808E-12  0.12720E-17  0.15562E-11
  0.3302      0.46456E-12  0.16635E-17  0.18089E-11
  0.3354      0.54252E-12  0.21734E-17  0.21022E-11
  0.3406      0.63413E-12  0.28370E-17  0.24430E-11
  0.3458      0.74207E-12  0.36999E-17  0.28389E-11
  0.3510      0.86966E-12  0.48208E-17  0.32992E-11
  0.3562      0.10210E-11  0.62755E-17  0.38349E-11
  0.3614      0.12014E-11  0.81616E-17  0.44589E-11
  0.3666      0.14173E-11  0.10605E-16  0.51867E-11
  0.3718      0.16773E-11  0.13767E-16  0.60370E-11
  0.3770      0.19921E-11  0.17856E-16  0.70325E-11
  0.3822      0.23760E-11  0.23139E-16  0.82005E-11
  0.3874      0.28471E-11  0.29956E-16  0.95750E-11
  0.3926      0.34298E-11  0.38747E-16  0.11197E-10
  0.3978      0.41555E-11  0.50073E-16  0.13121E-10
  0.4030      0.50664E-11  0.64651E-16  0.15448E-10
  0.4082      0.62180E-11  0.83397E-16  0.18498E-10
  0.4134      0.76841E-11  0.10748E-15  0.22866E-10
  0.4186      0.95629E-11  0.13840E-15  0.27428E-10
  0.4238      0.11986E-10  0.17805E-15  0.35468E-10
  0.4290      0.15126E-10  0.22885E-15  0.44200E-10
  0.4342      0.19218E-10  0.29388E-15  0.55033E-10
  0.4394      0.24570E-10  0.37705E-15  0.73406E-10
  0.4446      0.31596E-10  0.48333E-15  0.94425E-10
  0.4498      0.40845E-10  0.61902E-15  0.12567E-09
  0.4550      0.53046E-10  0.79210E-15  0.16884E-09
  0.4602      0.69170E-10  0.10127E-14  0.22686E-09
  0.4654      0.90500E-10  0.12935E-14  0.30477E-09
  0.4706      0.11874E-09  0.16508E-14  0.40924E-09
  0.4758      0.15612E-09  0.21050E-14  0.54909E-09
  0.4810      0.20562E-09  0.26817E-14  0.72770E-09
  0.4862      0.27112E-09  0.34134E-14  0.95529E-09
  0.4914      0.35775E-09  0.43411E-14  0.12830E-08
  0.4966      0.47219E-09  0.55161E-14  0.17193E-08
  0.5018      0.62320E-09  0.70031E-14  0.22990E-08
