#
# White Dwarf Mass Function
# Kernel Density Estimate calculation from 1772 white dwarf masses
# Source: Kilic et al. 2020, ApJ, 898, 84, Tables 3-7
#
# PDF computed using Kernel Density Estimation (KDE) by author BSR
#
# Masses are in Msun
# PDF - probability density function, dimensionless 0..1
# lower98/upper98 - 98% confidence intervals
#
Mass          PDF          lower98      upper98
  0.1500E-02  0.22927E-03  0.94631E-04  0.35864E-03
  0.4500E-02  0.23194E-03  0.95865E-04  0.36270E-03
  0.7500E-02  0.23730E-03  0.98345E-04  0.37085E-03
  0.1050E-01  0.24539E-03  0.10209E-03  0.38315E-03
  0.1350E-01  0.25628E-03  0.10715E-03  0.39970E-03
  0.1650E-01  0.27006E-03  0.11357E-03  0.42062E-03
  0.1950E-01  0.28683E-03  0.12140E-03  0.44607E-03
  0.2250E-01  0.30673E-03  0.13073E-03  0.47624E-03
  0.2550E-01  0.32991E-03  0.14164E-03  0.51136E-03
  0.2850E-01  0.35656E-03  0.15424E-03  0.55168E-03
  0.3150E-01  0.38687E-03  0.16864E-03  0.59749E-03
  0.3450E-01  0.42107E-03  0.18498E-03  0.64913E-03
  0.3750E-01  0.45942E-03  0.20341E-03  0.70479E-03
  0.4050E-01  0.50220E-03  0.22410E-03  0.76826E-03
  0.4350E-01  0.54972E-03  0.24752E-03  0.83931E-03
  0.4650E-01  0.60231E-03  0.27368E-03  0.91839E-03
  0.4950E-01  0.66035E-03  0.30277E-03  0.10055E-02
  0.5250E-01  0.72422E-03  0.33504E-03  0.11013E-02
  0.5550E-01  0.79435E-03  0.37076E-03  0.12063E-02
  0.5850E-01  0.87121E-03  0.41023E-03  0.13212E-02
  0.6150E-01  0.95529E-03  0.45377E-03  0.14451E-02
  0.6450E-01  0.10471E-02  0.50174E-03  0.15800E-02
  0.6750E-01  0.11473E-02  0.55449E-03  0.17266E-02
  0.7050E-01  0.12563E-02  0.61245E-03  0.18857E-02
  0.7350E-01  0.13749E-02  0.67604E-03  0.20583E-02
  0.7650E-01  0.15037E-02  0.74573E-03  0.22451E-02
  0.7950E-01  0.16435E-02  0.82202E-03  0.24472E-02
  0.8250E-01  0.17949E-02  0.90544E-03  0.26654E-02
  0.8550E-01  0.19589E-02  0.99655E-03  0.29008E-02
  0.8850E-01  0.21361E-02  0.10960E-02  0.31544E-02
  0.9150E-01  0.23276E-02  0.12044E-02  0.34275E-02
  0.9450E-01  0.25342E-02  0.13224E-02  0.37210E-02
  0.9750E-01  0.27569E-02  0.14507E-02  0.40363E-02
  0.1005      0.29968E-02  0.15925E-02  0.43746E-02
  0.1035      0.32548E-02  0.17478E-02  0.47371E-02
  0.1065      0.35321E-02  0.19164E-02  0.51253E-02
  0.1095      0.38297E-02  0.20994E-02  0.55408E-02
  0.1125      0.41490E-02  0.22976E-02  0.59861E-02
  0.1155      0.44911E-02  0.25073E-02  0.64615E-02
  0.1185      0.48572E-02  0.27251E-02  0.69686E-02
  0.1215      0.52488E-02  0.29594E-02  0.75261E-02
  0.1245      0.56671E-02  0.32137E-02  0.81213E-02
  0.1275      0.61135E-02  0.34954E-02  0.87560E-02
  0.1305      0.65894E-02  0.37983E-02  0.94323E-02
  0.1335      0.70962E-02  0.41238E-02  0.10152E-01
  0.1365      0.76355E-02  0.44733E-02  0.10917E-01
  0.1395      0.82087E-02  0.48480E-02  0.11716E-01
  0.1425      0.88174E-02  0.52458E-02  0.12531E-01
  0.1455      0.94630E-02  0.56656E-02  0.13392E-01
  0.1485      0.10147E-01  0.61135E-02  0.14298E-01
  0.1515      0.10871E-01  0.66026E-02  0.15253E-01
  0.1545      0.11637E-01  0.71383E-02  0.16258E-01
  0.1575      0.12446E-01  0.77088E-02  0.17313E-01
  0.1605      0.13300E-01  0.83020E-02  0.18423E-01
  0.1635      0.14200E-01  0.89327E-02  0.19623E-01
  0.1665      0.15148E-01  0.96025E-02  0.20883E-01
  0.1695      0.16145E-01  0.10313E-01  0.22204E-01
  0.1725      0.17193E-01  0.11066E-01  0.23588E-01
  0.1755      0.18293E-01  0.11849E-01  0.25036E-01
  0.1785      0.19446E-01  0.12658E-01  0.26539E-01
  0.1815      0.20654E-01  0.13510E-01  0.28074E-01
  0.1845      0.21918E-01  0.14407E-01  0.29672E-01
  0.1875      0.23240E-01  0.15350E-01  0.31377E-01
  0.1905      0.24619E-01  0.16373E-01  0.33150E-01
  0.1935      0.26058E-01  0.17402E-01  0.34993E-01
  0.1965      0.27557E-01  0.18480E-01  0.36906E-01
  0.1995      0.29117E-01  0.19610E-01  0.38890E-01
  0.2025      0.30739E-01  0.20802E-01  0.40944E-01
  0.2055      0.32422E-01  0.22048E-01  0.43070E-01
  0.2085      0.34169E-01  0.23347E-01  0.45266E-01
  0.2115      0.35978E-01  0.24702E-01  0.47559E-01
  0.2145      0.37850E-01  0.26087E-01  0.50070E-01
  0.2175      0.39784E-01  0.27497E-01  0.52576E-01
  0.2205      0.41782E-01  0.28988E-01  0.55074E-01
  0.2235      0.43842E-01  0.30548E-01  0.57640E-01
  0.2265      0.45964E-01  0.32070E-01  0.60274E-01
  0.2295      0.48147E-01  0.33699E-01  0.62973E-01
  0.2325      0.50391E-01  0.35461E-01  0.65737E-01
  0.2355      0.52694E-01  0.37081E-01  0.68692E-01
  0.2385      0.55055E-01  0.38899E-01  0.71769E-01
  0.2415      0.57473E-01  0.40700E-01  0.74917E-01
  0.2445      0.59946E-01  0.42593E-01  0.78134E-01
  0.2475      0.62472E-01  0.44540E-01  0.81417E-01
  0.2505      0.65051E-01  0.46539E-01  0.84763E-01
  0.2535      0.67678E-01  0.48591E-01  0.88037E-01
  0.2565      0.70353E-01  0.50694E-01  0.91231E-01
  0.2595      0.73073E-01  0.52768E-01  0.94821E-01
  0.2625      0.75835E-01  0.54782E-01  0.98464E-01
  0.2655      0.78637E-01  0.56904E-01  0.10215    
  0.2685      0.81476E-01  0.59240E-01  0.10589    
  0.2715      0.84349E-01  0.61478E-01  0.10965    
  0.2745      0.87254E-01  0.63425E-01  0.11337    
  0.2775      0.90186E-01  0.65382E-01  0.11686    
  0.2805      0.93143E-01  0.67511E-01  0.12080    
  0.2835      0.96123E-01  0.69726E-01  0.12465    
  0.2865      0.99121E-01  0.71964E-01  0.12844    
  0.2895      0.10213      0.74223E-01  0.13223    
  0.2925      0.10516      0.76502E-01  0.13581    
  0.2955      0.10820      0.78801E-01  0.13939    
  0.2985      0.11124      0.81117E-01  0.14314    
  0.3015      0.11429      0.83450E-01  0.14700    
  0.3045      0.11733      0.85799E-01  0.15085    
  0.3075      0.12038      0.88163E-01  0.15467    
  0.3105      0.12342      0.90542E-01  0.15848    
  0.3135      0.12645      0.92936E-01  0.16215    
  0.3165      0.12948      0.95344E-01  0.16575    
  0.3195      0.13249      0.97766E-01  0.16931    
  0.3225      0.13550      0.10020      0.17283    
  0.3255      0.13849      0.10266      0.17645    
  0.3285      0.14147      0.10530      0.18018    
  0.3315      0.14443      0.10804      0.18389    
  0.3345      0.14739      0.11083      0.18742    
  0.3375      0.15032      0.11367      0.19027    
  0.3405      0.15325      0.11657      0.19305    
  0.3435      0.15616      0.11867      0.19578    
  0.3465      0.15906      0.12074      0.19881    
  0.3495      0.16196      0.12297      0.20219    
  0.3525      0.16485      0.12562      0.20562    
  0.3555      0.16774      0.12834      0.20902    
  0.3585      0.17063      0.13122      0.21237    
  0.3615      0.17352      0.13415      0.21570    
  0.3645      0.17643      0.13714      0.21899    
  0.3675      0.17936      0.14018      0.22226    
  0.3705      0.18231      0.14328      0.22551    
  0.3735      0.18529      0.14646      0.22868    
  0.3765      0.18831      0.14971      0.23157    
  0.3795      0.19138      0.15306      0.23519    
  0.3825      0.19451      0.15611      0.23907    
  0.3855      0.19771      0.15870      0.24287    
  0.3885      0.20099      0.16151      0.24671    
  0.3915      0.20438      0.16505      0.25061    
  0.3945      0.20789      0.16827      0.25459    
  0.3975      0.21154      0.17150      0.25868    
  0.4005      0.21534      0.17490      0.26264    
  0.4035      0.21933      0.17786      0.26725    
  0.4065      0.22354      0.18050      0.27179    
  0.4095      0.22799      0.18426      0.27656    
  0.4125      0.23273      0.18846      0.28158    
  0.4155      0.23779      0.19108      0.28821    
  0.4185      0.24323      0.19550      0.29381    
  0.4215      0.24908      0.20120      0.29961    
  0.4245      0.25541      0.20792      0.30763    
  0.4275      0.26227      0.21501      0.31620    
  0.4305      0.26975      0.22148      0.32403    
  0.4335      0.27791      0.22853      0.33268    
  0.4365      0.28683      0.23630      0.34319    
  0.4395      0.29661      0.24489      0.35449    
  0.4425      0.30733      0.25439      0.36665    
  0.4455      0.31911      0.26350      0.37979    
  0.4485      0.33206      0.27297      0.39339    
  0.4515      0.34629      0.28510      0.40959    
  0.4545      0.36193      0.29858      0.42729    
  0.4575      0.37914      0.31146      0.44661    
  0.4605      0.39805      0.32593      0.46771    
  0.4635      0.41884      0.34269      0.49076    
  0.4665      0.44169      0.36240      0.51715    
  0.4695      0.46680      0.38745      0.54571    
  0.4725      0.49439      0.41155      0.57659    
  0.4755      0.52470      0.43614      0.61271    
  0.4785      0.55802      0.46389      0.64618    
  0.4815      0.59465      0.49823      0.68612    
  0.4845      0.63494      0.53635      0.73057    
  0.4875      0.67924      0.57756      0.78339    
  0.4905      0.72801      0.62572      0.83732    
  0.4935      0.78168      0.67801      0.90486    
  0.4965      0.84077      0.72854      0.97585    
  0.4995      0.90584      0.78780       1.0423    
  0.5025      0.97743      0.85368       1.1193    
  0.5055       1.0562      0.92333       1.2115    
  0.5085       1.1427       1.0004       1.3016    
  0.5115       1.2377       1.0857       1.3999    
  0.5145       1.3417       1.1764       1.5109    
  0.5175       1.4553       1.2788       1.6340    
  0.5205       1.5790       1.3919       1.7666    
  0.5235       1.7133       1.5167       1.9102    
  0.5265       1.8585       1.6456       2.0659    
  0.5295       2.0147       1.7998       2.2321    
  0.5325       2.1819       1.9554       2.4107    
  0.5355       2.3598       2.1274       2.6079    
  0.5385       2.5481       2.3037       2.8039    
  0.5415       2.7460       2.4815       3.0182    
  0.5445       2.9524       2.6852       3.2202    
  0.5475       3.1659       2.8787       3.4335    
  0.5505       3.3850       3.0848       3.6485    
  0.5535       3.6074       3.2899       3.8820    
  0.5565       3.8309       3.5030       4.1160    
  0.5595       4.0527       3.7161       4.3634    
  0.5625       4.2696       3.9330       4.5826    
  0.5655       4.4784       4.1400       4.8014    
