#
# Solar r- and s-process abundances
#
# Source: Cowan et al. 2006, NASA LAW 2006 Conference, Table 1
#         (https://ui.adsabs.harvard.edu/abs/2006nla..conf...82C)
#
Z       logNs   logNr
31	2.923	2.802
32	3.311	3.340
33	1.753	2.317
34	2.916	3.195
35	1.558	2.257
36	3.056	2.946
37	2.053	2.051
38	2.903	1.997
39	2.114	1.707
40	2.528	1.900
41	0.950	0.631
42	1.715	1.393
43	-0.632	0.826
44	1.370	1.564
45	0.330	1.051
46	1.380	1.476
47	0.658	1.228
48	1.474	1.471
49	0.346	0.673
50	2.006	1.471
51	0.262	0.979
52	1.575	2.187
53	0.289	1.520
54	1.579	2.172
55	0.338	1.088
56	2.259	1.496
57	1.118	0.631
58	1.541	0.900
59	0.488	0.504
60	1.275	1.137
61      -999   -999
62	0.524	0.831
63	-1.109	0.544
64	0.382	1.031
65	-0.808	0.368
66	0.280	1.146
67	-0.632	0.509
68	0.213	0.910
69	-0.632	0.081
70	0.471	0.802
71	-0.507	0.081
72	0.471	0.498
73	-0.456	-0.296
74	0.447	0.389
75	-0.711	0.262
76	0.368	1.404
77	-0.507	1.402
78	0.441	1.704
79	-0.410	0.836
80	0.893	0.754
81	0.599	0.314
82	1.949	1.383
83	0.298	0.558
84      -999   -999
85      -999   -999
86      -999   -999
87      -999   -999
88      -999   -999
89      -999   -999
90	-999	0.213
92	-999	0.005
93      -999   -999
