#
# Lane-Emden Polytrope
# n=0
#
  xi            theta         r/R*           rho/rho*
  0.00000       1.00000       0.00000        1.00000    
  0.613907E-02  0.999994      0.250627E-02   1.00000    
  0.122781E-01  0.999975      0.501253E-02   1.00000    
  0.184172E-01  0.999943      0.751880E-02   1.00000    
  0.245563E-01  0.999900      0.100251E-01   1.00000    
  0.306954E-01  0.999843      0.125313E-01   1.00000    
  0.368344E-01  0.999774      0.150376E-01   1.00000    
  0.429735E-01  0.999692      0.175439E-01   1.00000    
  0.491126E-01  0.999598      0.200501E-01   1.00000    
  0.552517E-01  0.999491      0.225564E-01   1.00000    
  0.613907E-01  0.999372      0.250627E-01   1.00000    
  0.675298E-01  0.999240      0.275689E-01   1.00000    
  0.736689E-01  0.999095      0.300752E-01   1.00000    
  0.798079E-01  0.998938      0.325815E-01   1.00000    
  0.859470E-01  0.998769      0.350877E-01   1.00000    
  0.920861E-01  0.998587      0.375940E-01   1.00000    
  0.982252E-01  0.998392      0.401003E-01   1.00000    
  0.104364      0.998185      0.426065E-01   1.00000    
  0.110503      0.997965      0.451128E-01   1.00000    
  0.116642      0.997732      0.476190E-01   1.00000    
  0.122781      0.997487      0.501253E-01   1.00000    
  0.128921      0.997230      0.526316E-01   1.00000    
  0.135060      0.996960      0.551378E-01   1.00000    
  0.141199      0.996677      0.576441E-01   1.00000    
  0.147338      0.996382      0.601504E-01   1.00000    
  0.153477      0.996074      0.626566E-01   1.00000    
  0.159616      0.995754      0.651629E-01   1.00000    
  0.165755      0.995421      0.676692E-01   1.00000    
  0.171894      0.995075      0.701754E-01   1.00000    
  0.178033      0.994717      0.726817E-01   1.00000    
  0.184172      0.994347      0.751880E-01   1.00000    
  0.190311      0.993964      0.776942E-01   1.00000    
  0.196450      0.993568      0.802005E-01   1.00000    
  0.202589      0.993160      0.827068E-01   1.00000    
  0.208728      0.992739      0.852130E-01   1.00000    
  0.214868      0.992305      0.877193E-01   1.00000    
  0.221007      0.991859      0.902256E-01   1.00000    
  0.227146      0.991401      0.927318E-01   1.00000    
  0.233285      0.990930      0.952381E-01   1.00000    
  0.239424      0.990446      0.977444E-01   1.00000    
  0.245563      0.989950      0.100251       1.00000    
  0.251702      0.989441      0.102757       1.00000    
  0.257841      0.988920      0.105263       1.00000    
  0.263980      0.988386      0.107769       1.00000    
  0.270119      0.987839      0.110276       1.00000    
  0.276258      0.987280      0.112782       1.00000    
  0.282397      0.986709      0.115288       1.00000    
  0.288536      0.986124      0.117794       1.00000    
  0.294675      0.985528      0.120301       1.00000    
  0.300815      0.984918      0.122807       1.00000    
  0.306954      0.984297      0.125313       1.00000    
  0.313093      0.983662      0.127820       1.00000    
  0.319232      0.983015      0.130326       1.00000    
  0.325371      0.982356      0.132832       1.00000    
  0.331510      0.981684      0.135338       1.00000    
  0.337649      0.980999      0.137845       1.00000    
  0.343788      0.980302      0.140351       1.00000    
  0.349927      0.979592      0.142857       1.00000    
  0.356066      0.978869      0.145363       1.00000    
  0.362205      0.978135      0.147870       1.00000    
  0.368344      0.977387      0.150376       1.00000    
  0.374483      0.976627      0.152882       1.00000    
  0.380622      0.975854      0.155388       1.00000    
  0.386762      0.975069      0.157895       1.00000    
  0.392901      0.974272      0.160401       1.00000    
  0.399040      0.973461      0.162907       1.00000    
  0.405179      0.972638      0.165414       1.00000    
  0.411318      0.971803      0.167920       1.00000    
  0.417457      0.970955      0.170426       1.00000    
  0.423596      0.970094      0.172932       1.00000    
  0.429735      0.969221      0.175439       1.00000    
  0.435874      0.968336      0.177945       1.00000    
  0.442013      0.967437      0.180451       1.00000    
  0.448152      0.966527      0.182957       1.00000    
  0.454291      0.965603      0.185464       1.00000    
  0.460430      0.964667      0.187970       1.00000    
  0.466570      0.963719      0.190476       1.00000    
  0.472709      0.962758      0.192982       1.00000    
  0.478848      0.961784      0.195489       1.00000    
  0.484987      0.960798      0.197995       1.00000    
  0.491126      0.959799      0.200501       1.00000    
  0.497265      0.958788      0.203008       1.00000    
  0.503404      0.957764      0.205514       1.00000    
  0.509543      0.956728      0.208020       1.00000    
  0.515682      0.955679      0.210526       1.00000    
  0.521821      0.954617      0.213033       1.00000    
  0.527960      0.953543      0.215539       1.00000    
  0.534099      0.952456      0.218045       1.00000    
  0.540238      0.951357      0.220551       1.00000    
  0.546377      0.950245      0.223058       1.00000    
  0.552517      0.949121      0.225564       1.00000    
  0.558656      0.947984      0.228070       1.00000    
  0.564795      0.946835      0.230576       1.00000    
  0.570934      0.945672      0.233083       1.00000    
  0.577073      0.944498      0.235589       1.00000    
  0.583212      0.943311      0.238095       1.00000    
  0.589351      0.942111      0.240602       1.00000    
  0.595490      0.940899      0.243108       1.00000    
  0.601629      0.939674      0.245614       1.00000    
  0.607768      0.938436      0.248120       1.00000    
  0.613907      0.937186      0.250627       1.00000    
  0.620046      0.935924      0.253133       1.00000    
  0.626185      0.934649      0.255639       1.00000    
  0.632324      0.933361      0.258145       1.00000    
