Mass       Radius     X          Y          c12        n14        o16        mu
0.00000    0.00000    0.33984    0.64034    0.00048    0.10940    0.17300    0.85391
0.00003    0.00649    0.33984    0.64034    0.00048    0.10940    0.17300    0.85391
0.00003    0.00659    0.33989    0.64030    0.00048    0.10940    0.17300    0.85386
0.00003    0.00670    0.33993    0.64026    0.00048    0.10940    0.17300    0.85383
0.00003    0.00680    0.33997    0.64021    0.00048    0.10940    0.17300    0.85379
0.00004    0.00690    0.34002    0.64017    0.00048    0.10940    0.17300    0.85374
0.00004    0.00701    0.34007    0.64012    0.00048    0.10940    0.17300    0.85370
0.00004    0.00712    0.34012    0.64007    0.00048    0.10940    0.17300    0.85365
0.00004    0.00723    0.34017    0.64002    0.00048    0.10940    0.17300    0.85361
0.00004    0.00734    0.34022    0.63997    0.00048    0.10940    0.17300    0.85356
0.00004    0.00745    0.34028    0.63991    0.00048    0.10940    0.17300    0.85351
0.00005    0.00756    0.34033    0.63986    0.00048    0.10940    0.17300    0.85346
0.00005    0.00768    0.34039    0.63980    0.00048    0.10940    0.17300    0.85341
0.00005    0.00780    0.34045    0.63974    0.00048    0.10940    0.17300    0.85335
0.00005    0.00792    0.34051    0.63968    0.00048    0.10940    0.17300    0.85330
0.00006    0.00804    0.34057    0.63962    0.00048    0.10940    0.17300    0.85324
0.00006    0.00816    0.34064    0.63955    0.00048    0.10920    0.17300    0.85318
0.00006    0.00829    0.34070    0.63948    0.00048    0.10920    0.17320    0.85313
0.00006    0.00841    0.34077    0.63942    0.00048    0.10920    0.17320    0.85306
0.00007    0.00854    0.34084    0.63934    0.00048    0.10920    0.17320    0.85300
0.00007    0.00867    0.34092    0.63927    0.00048    0.10920    0.17320    0.85293
0.00007    0.00881    0.34099    0.63920    0.00048    0.10920    0.17320    0.85286
0.00008    0.00894    0.34107    0.63912    0.00048    0.10920    0.17320    0.85279
0.00008    0.00908    0.34115    0.63904    0.00048    0.10920    0.17320    0.85272
0.00008    0.00922    0.34123    0.63896    0.00048    0.10920    0.17320    0.85264
0.00009    0.00936    0.34132    0.63887    0.00048    0.10920    0.17320    0.85256
0.00009    0.00950    0.34140    0.63879    0.00048    0.10920    0.17320    0.85249
0.00010    0.00964    0.34149    0.63870    0.00048    0.10920    0.17320    0.85241
0.00010    0.00979    0.34159    0.63860    0.00048    0.10920    0.17320    0.85232
0.00011    0.00994    0.34168    0.63851    0.00048    0.10920    0.17320    0.85223
