#
# Zero-Age Main Sequence
#
# MIST Model Grid: MIST_v1.0_feh_p0.00_afe_p0.0_vvcrit0.4_EEPS
#
#Units:
#  Minit - initial mass in Msun
#  zamsT - ZAMS effective temperature in K
#  zamsL - ZAMS luminosity in Lsun
  Minit Teff         Lsun
  0.10  2.885598e+03  9.938796e-04
  0.15  3.126952e+03  2.708696e-03
  0.20  3.228912e+03  4.736683e-03
  0.25  3.320439e+03  7.265974e-03
  0.30  3.412738e+03  1.040228e-02
  0.31  3.430031e+03  1.109585e-02
  0.32  3.447853e+03  1.204030e-02
  0.33  3.467312e+03  1.291290e-02
  0.34  3.486167e+03  1.375792e-02
  0.35  3.504949e+03  1.466855e-02
  0.36  3.524082e+03  1.575940e-02
  0.37  3.541842e+03  1.673844e-02
  0.38  3.559575e+03  1.783000e-02
  0.39  3.577943e+03  1.913323e-02
  0.40  3.595666e+03  2.037141e-02
  0.45  3.688993e+03  2.816072e-02
  0.50  3.795909e+03  3.926075e-02
  0.55  3.911341e+03  5.391570e-02
  0.60  4.047498e+03  7.410901e-02
  0.65  4.229988e+03  1.035079e-01
  0.70  4.462009e+03  1.449110e-01
  0.75  4.700238e+03  1.985879e-01
  0.80  4.937146e+03  2.684647e-01
  0.85  5.160487e+03  3.565794e-01
  0.90  5.365283e+03  4.647635e-01
  0.92  5.441240e+03  5.140613e-01
  0.94  5.511337e+03  5.659120e-01
  0.96  5.580011e+03  6.221972e-01
  0.98  5.646856e+03  6.830849e-01
  1.00  5.707057e+03  7.460903e-01
  1.02  5.766347e+03  8.143646e-01
  1.04  5.825515e+03  8.881794e-01
  1.06  5.880062e+03  9.656192e-01
  1.08  5.935290e+03  1.049697e+00
  1.10  5.985207e+03  1.136411e+00
  1.12  6.034629e+03  1.229207e+00
  1.14  6.084224e+03  1.329080e+00
  1.16  6.132072e+03  1.434517e+00
  1.18  6.177367e+03  1.544058e+00
  1.20  6.220618e+03  1.659529e+00
  1.22  6.264646e+03  1.782757e+00
  1.24  6.309213e+03  1.913570e+00
  1.26  6.351866e+03  2.050555e+00
  1.28  6.394157e+03  2.195249e+00
  1.30  6.434533e+03  2.345249e+00
  1.32  6.476152e+03  2.506123e+00
  1.34  6.515143e+03  2.671790e+00
  1.36  6.555717e+03  2.848987e+00
  1.38  6.594437e+03  3.032653e+00
  1.40  6.632309e+03  3.223801e+00
  1.42  6.669474e+03  3.423895e+00
  1.44  6.707067e+03  3.636053e+00
  1.46  6.743538e+03  3.855197e+00
  1.48  6.779553e+03  4.082679e+00
  1.50  6.816110e+03  4.321833e+00
  1.52  7.272164e+03  5.749956e+00
  1.54  7.359582e+03  6.123517e+00
  1.56  7.435013e+03  6.503443e+00
  1.58  7.522499e+03  6.903413e+00
  1.60  7.607155e+03  7.314017e+00
  1.62  7.702591e+03  7.735015e+00
  1.64  7.784181e+03  8.170415e+00
  1.66  7.865683e+03  8.618820e+00
  1.68  7.950026e+03  9.065966e+00
  1.70  8.025266e+03  9.567092e+00
  1.72  8.108518e+03  1.004782e+01
  1.74  8.199312e+03  1.045749e+01
  1.76  8.279494e+03  1.099585e+01
